1001	+5	0.68	95	3004
1002	Chocolate	1.29	45	3004
1003	Candy	0.99	75	3004
1004	Seaweed	0.7	65	3004
1005	Biscuit	0.34	50	3004
1006	Water	0.28	75	3005
1007	Soft-Drink	0.67	60	3005
1008	Coffee	1.5	40	3005
1009	Tea	1.32	60	3005
1010	Juice	0.6	70	3005
1011	Cheese	5.4	55	3001
1012	Milk	1.8	50	3001
1013	Yogurt	0.75	65	3001
1014	Butter	2.89	50	3001
1015	Frozen	2.0	65	3001
1016	Carrot	1.33	55	3000
1017	Strawberry	4.75	45	3000
1018	Pumpkin	2.52	70	3000
1019	Grape	3.12	65	3000
1020	Tomato	1.2	50	3000
1021	Shrimp	10.54	75	3002
1022	Pork	8.92	55	3002
1023	Beef	14.45	65	3002
1024	Fish	7.84	60	3002
1025	Shell	10.78	55	3002
1026	Cake	11.4	60	3003
1027	Bread	7.89	65	3003
1028	Cookie	2.89	65	3003
1029	Croissant	3.66	65	3003
1030	Tarts	3.2	55	3003
1031	Mop	4.57	55	3006
1032	Bin	2.9	55	3006
1033	Broom	2.69	75	3006
1034	Bucket	3.97	50	3006
1035	Vacuum	21.89	55	3006
1036	Cushion	14.57	65	3007
1037	Lipstick	21.4	75	3007
1038	Powder	7.15	50	3007
1039	Foudation	27.2	65	3007
1040	Contour	8.2	50	3007
1041	Iron	19.37	70	3009
1042	Microwave	50.5	55	3009
1043	Drill	40.79	55	3009
1044	Oven	90.99	55	3009
1045	Projector	30.98	75	3009
1046	Pen	0.51	50	3008
1047	Ruler	0.73	50	3008
1048	Paper	2.88	55	3008
1049	Pencil	0.58	60	3008
1050	Rubber	0.32	65	3008
